El municipio en cifras
Población de los barrios de Madrid
Periodo;Anual;2019
Orden;Cod. Territorio;Territorio;Población total ayto
1;28079BAR104;Aluche;66.351
2;28079BAR086;Valverde;63.201
3;28079BAR152;Pueblo Nuevo;62.111
4;28079BAR166;Valdefuentes;57.879
5;28079BAR164;Pinar del Rey;52.691
6;28079BAR107;Las Águilas;51.557
7;28079BAR151;Ventas;48.099
8;28079BAR136;Numancia;47.298
9;28079BAR116;Buenavista;47.055
10;28079BAR084;Pilar;46.419
11;28079BAR114;Vista Alegre;45.975
12;28079BAR183;Ensanche de Vallecas;45.828
13;28079BAR012;Embajadores;45.259
14;28079BAR171;Villaverde Alto, Casco Histórico de Villaverde;45.204
15;28079BAR083;Peñagrande;44.508
16;28079BAR134;Palomeras Sureste;42.594
17;28079BAR102;Puerta del Ángel;41.730
18;28079BAR132;San Diego;41.664
19;28079BAR044;Guindalera;41.609
20;28079BAR163;Canillas;40.578
21;28079BAR181;Casco Histórico de Vallecas;40.280
22;28079BAR133;Palomeras Bajas;40.166
23;28079BAR113;San Isidro;38.957
24;28079BAR174;Los Rosales;37.587
25;28079BAR022;Acacias;36.785
26;28079BAR052;Prosperidad;36.651
27;28079BAR103;Lucero;36.090
28;28079BAR115;Puerta Bonita;34.860
29;28079BAR191;Casco Histórico de Vicálvaro;34.816
30;28079BAR131;Entrevías;34.698
31;28079BAR062;Cuatro Caminos;34.608
32;28079BAR085;La Paz;33.765
33;28079BAR031;Pacífico;33.571
34;28079BAR112;Opañel;33.051
35;28079BAR087;Mirasierra;32.898
36;28079BAR054;Hispanoamérica;31.733
37;28079BAR015;Universidad;31.725
38;28079BAR205;Rosas;31.677
39;28079BAR175;Los Ángeles;31.170
40;28079BAR117;Abrantes;30.739
41;28079BAR094;Valdezarza;29.722
42;28079BAR042;Goya;29.649
43;28079BAR061;Bellas Vistas;29.146
44;28079BAR207;Canillejas;28.584
45;28079BAR135;Portazgo;28.350
46;28079BAR201;Simancas;27.918
47;28079BAR025;Delicias;27.658
48;28079BAR075;Ríos Rosas;27.382
49;28079BAR143;Marroquina;27.260
50;28079BAR097;Aravaca;26.823
51;28079BAR125;Moscardó;26.353
52;28079BAR065;Valdeacederas;26.021
53;28079BAR026;Palos de Moguer;25.801
54;28079BAR066;Berruguete;25.007
55;28079BAR073;Trafalgar;24.696
56;28079BAR055;Nueva España;24.657
57;28079BAR153;Quintana;24.622
58;28079BAR072;Arapiles;24.455
59;28079BAR182;Santa Eugenia;24.328
60;28079BAR204;Arcos;24.211
61;28079BAR092;Argüelles;24.093
62;28079BAR123;San Fermín;23.666
63;28079BAR033;Estrella;23.306
64;28079BAR011;Palacio;22.923
65;28079BAR071;Gaztambide;22.891
66;28079BAR121;Orcasitas;22.837
67;28079BAR021;Imperial;22.766
68;28079BAR064;Almenara;22.642
69;28079BAR111;Comillas;22.403
70;28079BAR159;Costillares;22.010
71;28079BAR034;Ibiza;21.646
72;28079BAR124;Almendrales;21.439
73;28079BAR043;Fuente del Berro;21.071
74;28079BAR045;Lista;20.961
75;28079BAR154;Concepción;20.856
76;28079BAR063;Castillejos;20.513
77;28079BAR076;Vallehermoso;20.217
78;28079BAR023;Chopera;19.993
79;28079BAR074;Almagro;19.807
80;28079BAR024;Legazpi;19.652
81;28079BAR211;Alameda de Osuna;19.526
82;28079BAR105;Campamento;19.281
83;28079BAR173;Butarque;18.870
84;28079BAR053;Ciudad Jardín;18.642
85;28079BAR088;El Goloso;18.511
86;28079BAR032;Adelfas;18.474
87;28079BAR193;Valderribas;18.142
88;28079BAR155;San Pascual;18.130
89;28079BAR144;Media Legua;17.871
90;28079BAR192;Valdebernardo;17.638
91;28079BAR127;Pradolongo;17.430
92;28079BAR101;Los Cármenes;17.397
93;28079BAR051;El Viso;17.302
94;28079BAR014;Justicia;17.153
95;28079BAR145;Fontarrón;17.139
96;28079BAR046;Castellana;17.124
97;28079BAR056;Castilla;16.880
98;28079BAR146;Vinateros;16.868
99;28079BAR206;Rejas;16.693
100;28079BAR093;Ciudad Universitaria;16.260
101;28079BAR172;San Cristóbal;16.052
102;28079BAR041;Recoletos;15.734
103;28079BAR165;Apóstol Santiago;15.418
104;28079BAR036;Niño Jesús;15.343
105;28079BAR162;Piovera;14.911
106;28079BAR126;Zofío;13.968
107;28079BAR122;Orcasur;13.808
108;28079BAR091;Casa de Campo;12.991
109;28079BAR156;San Juan Bautista;12.487
110;28079BAR214;Timón;12.388
111;28079BAR208;Salvador;11.351
112;28079BAR013;Cortes;10.484
113;28079BAR202;Hellín;9.157
114;28079BAR141;Pavones;9.137
115;28079BAR203;Amposta;8.575
116;28079BAR215;Corralejos;7.642
117;28079BAR213;Casco Histórico de Barajas;7.565
118;28079BAR016;Sol;7.337
119;28079BAR035;Jerónimos;7.039
120;28079BAR161;Palomas;6.790
121;28079BAR095;Valdemarín;6.726
122;28079BAR157;Colina;6.387
123;28079BAR142;Horcajo;6.334
124;28079BAR106;Cuatro Vientos;5.748
125;28079BAR081;El Pardo;3.454
126;28079BAR082;Fuentelarreina;3.265
127;28079BAR096;El Plantío;2.808
128;28079BAR212;Aeropuerto;1.851
129;28079BAR158;Atalaya;1.568
130;28079BAR194;El Cañaveral;1.530
131;28079BAR027;Atocha;1.175
