El municipio en cifras
Edad media de los barrios de Madrid
Periodo;Anual;2018
Orden;Cod. Territorio;Territorio;Edad media ayto
1;28079BAR146;Vinateros;49,4
2;28079BAR085;La Paz;48,6
3;28079BAR104;Aluche;48,4
4;28079BAR084;Pilar;48,4
5;28079BAR033;Estrella;48,3
6;28079BAR143;Marroquina;48,2
7;28079BAR091;Casa de Campo;48,1
8;28079BAR201;Simancas;48,0
9;28079BAR107;Las Águilas;48,0
10;28079BAR076;Vallehermoso;48,0
11;28079BAR144;Media Legua;47,9
12;28079BAR035;Jerónimos;47,9
13;28079BAR081;El Pardo;47,7
14;28079BAR175;Los Ángeles;47,5
15;28079BAR145;Fontarrón;47,4
16;28079BAR071;Gaztambide;47,4
17;28079BAR092;Argüelles;47,3
18;28079BAR031;Pacífico;47,2
19;28079BAR155;San Pascual;47,2
20;28079BAR163;Canillas;47,1
21;28079BAR164;Pinar del Rey;47,0
22;28079BAR034;Ibiza;46,9
23;28079BAR154;Concepción;46,9
24;28079BAR043;Fuente del Berro;46,9
25;28079BAR151;Ventas;46,8
26;28079BAR044;Guindalera;46,8
27;28079BAR111;Comillas;46,7
28;28079BAR063;Castillejos;46,6
29;28079BAR052;Prosperidad;46,6
30;28079BAR023;Chopera;46,5
31;28079BAR094;Valdezarza;46,3
32;28079BAR072;Arapiles;46,2
33;28079BAR042;Goya;46,2
34;28079BAR141;Pavones;46,2
35;28079BAR153;Quintana;46,2
36;28079BAR036;Niño Jesús;46,2
37;28079BAR083;Peñagrande;46,2
38;28079BAR074;Almagro;46,2
39;28079BAR093;Ciudad Universitaria;46,1
40;28079BAR022;Acacias;46,1
41;28079BAR045;Lista;45,9
42;28079BAR105;Campamento;45,9
43;28079BAR075;Ríos Rosas;45,9
44;28079BAR054;Hispanoamérica;45,9
45;28079BAR062;Cuatro Caminos;45,8
46;28079BAR021;Imperial;45,8
47;28079BAR053;Ciudad Jardín;45,8
48;28079BAR103;Lucero;45,7
49;28079BAR026;Palos de Moguer;45,7
50;28079BAR011;Palacio;45,7
51;28079BAR041;Recoletos;45,7
52;28079BAR206;Rejas;45,6
53;28079BAR114;Vista Alegre;45,6
54;28079BAR207;Canillejas;45,5
55;28079BAR073;Trafalgar;45,4
56;28079BAR152;Pueblo Nuevo;45,4
57;28079BAR165;Apóstol Santiago;45,4
58;28079BAR046;Castellana;45,3
59;28079BAR082;Fuentelarreina;45,2
60;28079BAR102;Puerta del Ángel;45,2
61;28079BAR056;Castilla;45,2
62;28079BAR013;Cortes;45,1
63;28079BAR182;Santa Eugenia;45,1
64;28079BAR135;Portazgo;45,0
65;28079BAR112;Opañel;45,0
66;28079BAR032;Adelfas;44,8
67;28079BAR157;Colina;44,7
68;28079BAR064;Almenara;44,7
69;28079BAR016;Sol;44,7
70;28079BAR211;Alameda de Osuna;44,5
71;28079BAR213;Casco Histórico de Barajas;44,4
72;28079BAR051;El Viso;44,3
73;28079BAR202;Hellín;44,2
74;28079BAR014;Justicia;44,2
75;28079BAR191;Casco Histórico de Vicálvaro;44,1
76;28079BAR125;Moscardó;44,1
77;28079BAR015;Universidad;44,1
78;28079BAR156;San Juan Bautista;43,9
79;28079BAR131;Entrevías;43,9
80;28079BAR113;San Isidro;43,9
81;28079BAR159;Costillares;43,7
82;28079BAR136;Numancia;43,6
83;28079BAR134;Palomeras Sureste;43,6
84;28079BAR158;Atalaya;43,5
85;28079BAR061;Bellas Vistas;43,5
86;28079BAR101;Los Cármenes;43,3
87;28079BAR121;Orcasitas;43,3
88;28079BAR203;Amposta;43,3
89;28079BAR126;Zofío;43,3
90;28079BAR055;Nueva España;43,2
91;28079BAR133;Palomeras Bajas;43,1
92;28079BAR115;Puerta Bonita;43,1
93;28079BAR194;El Cañaveral;43,0
94;28079BAR012;Embajadores;42,9
95;28079BAR025;Delicias;42,8
96;28079BAR117;Abrantes;42,7
97;28079BAR066;Berruguete;42,7
98;28079BAR127;Pradolongo;42,3
99;28079BAR171;Villaverde Alto, Casco Histórico de Villaverde;42,2
100;28079BAR124;Almendrales;42,2
101;28079BAR174;Los Rosales;42,1
102;28079BAR096;El Plantío;41,9
103;28079BAR212;Aeropuerto;41,9
104;28079BAR065;Valdeacederas;41,8
105;28079BAR132;San Diego;41,2
106;28079BAR181;Casco Histórico de Vallecas;41,0
107;28079BAR204;Arcos;40,8
108;28079BAR122;Orcasur;40,7
109;28079BAR192;Valdebernardo;40,5
110;28079BAR162;Piovera;40,3
111;28079BAR123;San Fermín;40,0
112;28079BAR161;Palomas;39,7
113;28079BAR097;Aravaca;39,4
114;28079BAR116;Buenavista;39,2
115;28079BAR172;San Cristóbal;39,1
116;28079BAR087;Mirasierra;39,0
117;28079BAR142;Horcajo;38,6
118;28079BAR205;Rosas;38,2
119;28079BAR027;Atocha;38,0
120;28079BAR024;Legazpi;37,8
121;28079BAR214;Timón;37,6
122;28079BAR086;Valverde;37,3
123;28079BAR215;Corralejos;37,0
124;28079BAR095;Valdemarín;36,0
125;28079BAR173;Butarque;35,5
126;28079BAR106;Cuatro Vientos;35,2
127;28079BAR166;Valdefuentes;34,1
128;28079BAR193;Valderribas;33,3
129;28079BAR088;El Goloso;32,9
130;28079BAR183;Ensanche de Vallecas;32,7
131;28079BAR208;Salvador;0,0
