Nombre del distrito;Nombre del barrio;Promedio de LONGITUD;Promedio de LATITUD
ARGANZUELA          ;ACACIAS;-3,706236055;40,40189312
ARGANZUELA          ;ATOCHA;-3,680132932;40,39802006
ARGANZUELA          ;CHOPERA;-3,69821103;40,39585693
ARGANZUELA          ;DELICIAS;-3,69108089;40,39682388
ARGANZUELA          ;IMPERIAL;-3,718209046;40,40758566
ARGANZUELA          ;LEGAZPI;-3,689773425;40,38878159
ARGANZUELA          ;PALOS DE MOGUER;-3,694537605;40,40334497
BARAJAS             ;AEROPUERTO;-3,570634689;40,45476612
BARAJAS             ;ALAMEDA DE OSUNA;-3,590086801;40,45692027
BARAJAS             ;CASCO HISTORICO DE BARAJAS;-3,578714051;40,47384302
BARAJAS             ;CORRALEJOS;-3,593521985;40,4650915
BARAJAS             ;TIMON;-3,592261209;40,47390875
CARABANCHEL         ;ABRANTES;-3,728188064;40,38076209
CARABANCHEL         ;BUENAVISTA;-3,753506288;40,36853261
CARABANCHEL         ;COMILLAS;-3,711975054;40,39332473
CARABANCHEL         ;OPAÑEL;-3,722243579;40,39014307
CARABANCHEL         ;PUERTA BONITA;-3,738427796;40,38008688
CARABANCHEL         ;SAN ISIDRO;-3,729828921;40,39470701
CARABANCHEL         ;VISTA ALEGRE;-3,742162326;40,38630754
CENTRO              ;CORTES;-3,697519028;40,41405289
CENTRO              ;EMBAJADORES;-3,702876535;40,40972516
CENTRO              ;JUSTICIA;-3,697497089;40,42363886
CENTRO              ;PALACIO;-3,71125958;40,41441764
CENTRO              ;SOL;-3,704909682;40,41698434
CENTRO              ;UNIVERSIDAD;-3,706028332;40,42510655
CHAMARTIN           ;CASTILLA;-3,681848182;40,47141034
CHAMARTIN           ;CIUDAD JARDIN;-3,671994597;40,44870739
CHAMARTIN           ;EL VISO;-3,683755817;40,44586487
CHAMARTIN           ;HISPANOAMERICA;-3,673695976;40,45532007
CHAMARTIN           ;NUEVA ESPAÑA;-3,67787246;40,46298052
CHAMARTIN           ;PROSPERIDAD;-3,67131742;40,44338921
CHAMBERI            ;ALMAGRO;-3,694251584;40,43291936
CHAMBERI            ;ARAPILES;-3,708215385;40,43448686
CHAMBERI            ;GAZTAMBIDE;-3,71441136;40,43470875
CHAMBERI            ;RÍOS ROSAS;-3,698401686;40,4423445
CHAMBERI            ;TRAFALGAR;-3,701037394;40,43260444
CHAMBERI            ;VALLEHERMOSO;-3,712127255;40,44251052
CIUDAD LINEAL       ;ATALAYA;-3,664458004;40,46491375
CIUDAD LINEAL       ;COLINA;-3,659398164;40,45797363
CIUDAD LINEAL       ;CONCEPCION;-3,648914699;40,43963692
CIUDAD LINEAL       ;COSTILLARES;-3,667576111;40,47719015
CIUDAD LINEAL       ;PUEBLO NUEVO;-3,638690077;40,42892516
CIUDAD LINEAL       ;QUINTANA;-3,645215712;40,43695411
CIUDAD LINEAL       ;SAN JUAN BAUTISTA;-3,655631118;40,45164263
CIUDAD LINEAL       ;SAN PASCUAL;-3,652161183;40,44246072
CIUDAD LINEAL       ;VENTAS;-3,652419715;40,42766256
FUENCARRAL-EL PARDO ;EL GOLOSO;-3,697328558;40,51607702
FUENCARRAL-EL PARDO ;EL PARDO;-3,777897909;40,52540319
FUENCARRAL-EL PARDO ;FUENTELARREINA;-3,742693252;40,47852848
FUENCARRAL-EL PARDO ;LA PAZ;-3,6995207;40,48212442
FUENCARRAL-EL PARDO ;MIRASIERRA;-3,714620744;40,4918371
FUENCARRAL-EL PARDO ;PENAGRANDE;-3,727692316;40,47847962
FUENCARRAL-EL PARDO ;PILAR;-3,71059246;40,47637352
FUENCARRAL-EL PARDO ;VALVERDE;-3,684890628;40,49745154
HORTALEZA           ;APOSTOL SANTIAGO;-3,661249588;40,47525702
HORTALEZA           ;CANILLAS;-3,64720447;40,46243547
HORTALEZA           ;PALOMAS;-3,614208072;40,4524307
