Nombre del distrito;Nombre del barrio;Promedio de LONGITUD;Promedio de LATITUD
ARGANZUELA          ;ACACIAS;-3.7062;40.4019
ARGANZUELA          ;ATOCHA;-3.6801;40.3980
ARGANZUELA          ;CHOPERA;-3.6982;40.3959
ARGANZUELA          ;DELICIAS;-3.6911;40.3968
ARGANZUELA          ;IMPERIAL;-3.7182;40.4076
ARGANZUELA          ;LEGAZPI;-3.6898;40.3888
ARGANZUELA          ;PALOS DE MOGUER;-3.6945;40.4033
BARAJAS             ;AEROPUERTO;-3.5706;40.4548
BARAJAS             ;ALAMEDA DE OSUNA;-3.5901;40.4569
BARAJAS             ;CASCO HISTORICO DE BARAJAS;-3.5787;40.4738
BARAJAS             ;CORRALEJOS;-3.5935;40.4651
BARAJAS             ;TIMON;-3.5923;40.4739
CARABANCHEL         ;ABRANTES;-3.7282;40.3808
CARABANCHEL         ;BUENAVISTA;-3.7535;40.3685
CARABANCHEL         ;COMILLAS;-3.7120;40.3933
CARABANCHEL         ;OPANEL;-3.7222;40.3901
CARABANCHEL         ;PUERTA BONITA;-3.7384;40.3801
CARABANCHEL         ;SAN ISIDRO;-3.7298;40.3947
CARABANCHEL         ;VISTA ALEGRE;-3.7422;40.3863
CENTRO              ;CORTES;-3.6975;40.4141
CENTRO              ;EMBAJADORES;-3.7029;40.4097
CENTRO              ;JUSTICIA;-3.6975;40.4236
CENTRO              ;PALACIO;-3.7113;40.4144
CENTRO              ;SOL;-3.7049;40.4170
CENTRO              ;UNIVERSIDAD;-3.7060;40.4251
CHAMARTIN           ;CASTILLA;-3.6818;40.4714
CHAMARTIN           ;CIUDAD JARDIN;-3.6720;40.4487
CHAMARTIN           ;EL VISO;-3.6838;40.4459
CHAMARTIN           ;HISPANOAMERICA;-3.6737;40.4553
CHAMARTIN           ;NUEVA ESPANA;-3.6779;40.4630
CHAMARTIN           ;PROSPERIDAD;-3.6713;40.4434
CHAMBERI            ;ALMAGRO;-3.6943;40.4329
CHAMBERI            ;ARAPILES;-3.7082;40.4345
CHAMBERI            ;GAZTAMBIDE;-3.7144;40.4347
CHAMBERI            ;RIO ROSAS;-3.6984;40.4423
CHAMBERI            ;TRAFALGAR;-3.7010;40.4326
CHAMBERI            ;VALLEHERMOSO;-3.7121;40.4425
CIUDAD LINEAL       ;ATALAYA;-3.6645;40.4649
CIUDAD LINEAL       ;COLINA;-3.6594;40.4580
CIUDAD LINEAL       ;CONCEPCION;-3.6489;40.4396
CIUDAD LINEAL       ;COSTILLARES;-3.6676;40.4772
CIUDAD LINEAL       ;PUEBLO NUEVO;-3.6387;40.4289
CIUDAD LINEAL       ;QUINTANA;-3.6452;40.4370
CIUDAD LINEAL       ;SAN JUAN BAUTISTA;-3.6556;40.4516
CIUDAD LINEAL       ;SAN PASCUAL;-3.6522;40.4425
CIUDAD LINEAL       ;VENTAS;-3.6524;40.4277
FUENCARRAL-EL PARDO ;EL GOLOSO;-3.6951;40.5073
FUENCARRAL-EL PARDO ;EL PARDO;-3.7769;40.5193
FUENCARRAL-EL PARDO ;FUENTELARREINA;-3.7427;40.4785
FUENCARRAL-EL PARDO ;LA PAZ;-3.6995;40.4821
FUENCARRAL-EL PARDO ;MIRASIERRA;-3.7146;40.4918
FUENCARRAL-EL PARDO ;PENAGRANDE;-3.7277;40.4785
FUENCARRAL-EL PARDO ;PILAR;-3.7106;40.4764
FUENCARRAL-EL PARDO ;VALVERDE;-3.6849;40.4975
HORTALEZA           ;APOSTOL SANTIAGO;-3.6612;40.4753
HORTALEZA           ;CANILLAS;-3.6472;40.4624
HORTALEZA           ;PALOMAS;-3.6142;40.4524
HORTALEZA           ;PINAR DEL REY;-3.6480;40.4726
HORTALEZA           ;PIOVERA;-3.6377;40.4564
HORTALEZA           ;VALDEFUENTES;-3.6554;40.4896
LATINA              ;ALUCHE;-3.7561;40.3920
LATINA              ;CAMPAMENTO;-3.7775;40.3932
LATINA              ;CUATRO VIENTOS;-3.7710;40.3714
LATINA              ;LAS AGUILAS;-3.7721;40.3807
LATINA              ;LOS CARMENES;-3.7381;40.4002
LATINA              ;LUCERO;-3.7484;40.4031
LATINA              ;PUERTA DEL ANGEL;-3.7330;40.4093
MONCLOA-ARAVACA     ;ARAVACA;-3.7804;40.4551
MONCLOA-ARAVACA     ;ARGUELLES;-3.7178;40.4278
MONCLOA-ARAVACA     ;CASA DE CAMPO;-3.7320;40.4254
MONCLOA-ARAVACA     ;CIUDAD UNIVERSITARIA;-3.7245;40.4594
MONCLOA-ARAVACA     ;EL PLANTIO;-3.8223;40.4714
MONCLOA-ARAVACA     ;VALDEMARIN;-3.7773;40.4678
MONCLOA-ARAVACA     ;VALDEZARZA;-3.7166;40.4659
MORATALAZ           ;FONTARRON;-3.6455;40.4014
MORATALAZ           ;HORCAJO;-3.6289;40.4069
MORATALAZ           ;MARROQUINA;-3.6461;40.4112
MORATALAZ           ;MEDIA LEGUA;-3.6569;40.4107
MORATALAZ           ;PAVONES;-3.6329;40.3991
MORATALAZ           ;VINATEROS;-3.6429;40.4056
PUENTE DE VALLECAS  ;ENTREVIAS;-3.6687;40.3781
PUENTE DE VALLECAS  ;NUMANCIA;-3.6616;40.3993
PUENTE DE VALLECAS  ;PALOMERAS BAJAS;-3.6591;40.3861
PUENTE DE VALLECAS  ;PALOMERAS SURESTE;-3.6395;40.3854
PUENTE DE VALLECAS  ;PORTAZGO;-3.6490;40.3885
PUENTE DE VALLECAS  ;SAN DIEGO;-3.6680;40.3903
RETIRO              ;ADELFAS;-3.6711;40.4011
RETIRO              ;ESTRELLA;-3.6670;40.4137
RETIRO              ;IBIZA;-3.6753;40.4187
RETIRO              ;JERONIMOS;-3.6874;40.4129
RETIRO              ;NINO JESUS;-3.6731;40.4100
RETIRO              ;PACIFICO;-3.6777;40.4045
SALAMANCA           ;CASTELLANA;-3.6839;40.4337
SALAMANCA           ;FUENTE DEL BERRO;-3.6647;40.4249
SALAMANCA           ;GOYA;-3.6746;40.4252
SALAMANCA           ;GUINDALERA;-3.6683;40.4352
SALAMANCA           ;LISTA;-3.6755;40.4319
SALAMANCA           ;RECOLETOS;-3.6854;40.4245
SAN BLAS-CANILLEJAS ;AMPOSTA;-3.6218;40.4263
SAN BLAS-CANILLEJAS ;ARCOS;-3.6169;40.4217
SAN BLAS-CANILLEJAS ;CANILLEJAS;-3.6122;40.4440
SAN BLAS-CANILLEJAS ;HELLIN;-3.6162;40.4310
SAN BLAS-CANILLEJAS ;REJAS;-3.5709;40.4455
SAN BLAS-CANILLEJAS ;ROSAS;-3.6051;40.4264
SAN BLAS-CANILLEJAS ;SALVADOR;-3.6338;40.4436
SAN BLAS-CANILLEJAS ;SIMANCAS;-3.6263;40.4344
TETUAN              ;ALMENARA;-3.6942;40.4700
TETUAN              ;BELLAS VISTAS;-3.7072;40.4521
TETUAN              ;BERRUGUETE;-3.7048;40.4599
TETUAN              ;CASTILLEJOS;-3.6955;40.4605
TETUAN              ;CUATRO CAMINOS;-3.6991;40.4515
TETUAN              ;VALDEACEDERAS;-3.7018;40.4661
USERA               ;ALMENDRALES;-3.7014;40.3839
USERA               ;MOSCARDO;-3.7074;40.3879
USERA               ;ORCASITAS;-3.7142;40.3696
USERA               ;ORCASUR;-3.6979;40.3714
USERA               ;PRADOLONGO;-3.7074;40.3824
USERA               ;SAN FERMIN;-3.6904;40.3714
USERA               ;ZOFIO;-3.7144;40.3804
VICALVARO           ;CASCO HISTORICO DE VICALVARO;-3.6021;40.4032
VILLA DE VALLECAS   ;CASCO HISTORICO DE VALLECAS;-3.6268;40.3733
VILLA DE VALLECAS   ;SANTA EUGENIA;-3.6103;40.3817
VILLAVERDE          ;BUTARQUE;-3.6786;40.3464
VILLAVERDE          ;LOS ANGELES;-3.6980;40.3551
VILLAVERDE          ;LOS ROSALES;-3.6883;40.3537
VILLAVERDE          ;SAN CRISTOBAL;-3.6883;40.3426
VILLAVERDE          ;VILLAVERDE ALTO;-3.6126;40.4085
