ID;Operation Type;Operation Date;Result;Valid;ECU ID;ECU;VIN;VAN;PIC;Archetype ID;tipo;Station Zone;Station;Plant;err_description;error_code;ecu_data_package_version;error_code;AN;VP;VCB;PAIS;GAMMA;CABINA;POWER;AXLES;TIPO AXLE;VERSION;TIPO VERSION;WHEELBASE;SUSPENSION;TIPO SUSPENSION;HANDRIVE;GEARBOX;MT;040 TWIN;RT;BRAKES;FDP;0;1;2;3;5;6;OK
12770581;ECU_COMPONENT_TEST;12/05/2020 9:54;OK;1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJME62RN40C430799;V11733597;QE1E16E1000074;5802109393;EVO DIESEL;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;7;;;;11733597;QE1E16E1000074;QE1E16E1;SPAIN;Q;AD-EV;310 C9;6X2P;2;CABINAT;3;4200;P;1;SX;AUTOMAT;26;STER;SR;DIS-DIS;B26Y;;;;;;;1
12771398;ECU_COMPONENT_TEST;12/05/2020 11:01;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430701;V11750671;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;6;;;;11750671;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;1;
12771506;ECU_COMPONENT_TEST;12/05/2020 11:05;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430701;V11750671;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3033;Madrid;6;;;;11750671;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;1;
12772463;ECU_COMPONENT_TEST;12/05/2020 12:34;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430700;V11750662;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;1;;;;11750662;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;1;;;;;
12772494;ECU_COMPONENT_TEST;12/05/2020 12:36;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430700;V11750662;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;1;;;;11750662;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;1;;;;;
12772530;ECU_COMPONENT_TEST;12/05/2020 12:38;OK;1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430700;V11750662;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - ATS SENSOR TEST;EOL-3034;Madrid;7;;;;11750662;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;;;;;;1
12772812;ECU_COMPONENT_TEST;12/05/2020 12:59;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430701;V11750671;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - REVISIONE 410;EOL-4166;Madrid;0;;;;11750671;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;1;;;;;;
12772834;ECU_COMPONENT_TEST;12/05/2020 13:01;NOK (20);1 OK;471;MULTIPLEXER BCM_HIMUX CONTINENTAL;WJMM62AT50C430901;V11762202;AGFA23C3002145;5802407254;EVO NP;MADRID - REVISIONE 410;EOL-4154;Madrid;7;;;;11762202;AGFA23C3002145;AGFA23C3;FRANCE;A;AS-EV;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;TX-12M;18-20;NO ADD;SR;DIS-DIS;UM4T;;;;;;;1
12772836;ECU_COMPONENT_TEST;12/05/2020 13:01;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430701;V11750671;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - REVISIONE 410;EOL-4166;Madrid;1;;;;11750671;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;1;;;;;
12772871;ECU_COMPONENT_TEST;12/05/2020 13:03;NOK (20);1 OK;510;MULTIPLEXER BCM_IMMO_HIMUX CONTINENTAL;WJMMG2ATZ0C430701;V11750671;CA4AA3D1000419;5802713014;S-WAY NP;MADRID - REVISIONE 410;EOL-4166;Madrid;1;;;;11750671;CA4AA3D1000419;CA4AA3D1;SPAIN;C;AS-SX;460C13G;4X2;1;TRATTOR;1;3800;P;1;SX;12TX 2010 TO;18-20T;NO ADD;SR;DIS-DIS;AG4T;;1;;;;;
